LSTM,CNN_LSTM,REAL_VALUE
692.14746,689.3102,693.85
691.36444,687.6789,693.4
689.805,686.99023,692.75
689.1678,686.45575,693.75
689.60236,687.0841,693.75
689.96216,687.2669,694.3
690.2974,687.6438,694.6
690.8438,687.90594,694.3
690.9056,687.7469,694.7
690.8556,687.9687,694.45
690.80804,687.8518,693.95
690.3651,687.48846,695.05
690.6262,688.1578,695.1
691.2111,688.34296,695.5
691.51,688.65106,694.4
691.017,687.92163,696.15
691.5247,688.97375,703.1
696.1388,694.0121,698.2
696.78674,691.4416,696.95
693.49115,689.90765,696.0
692.09,689.0473,694.6
691.3444,687.97504,694.1
689.8458,687.5784,692.1
688.2619,686.1666,693.55
688.68854,686.8598,693.0
689.4773,686.69403,693.25
689.5447,686.8348,694.0
690.11255,687.3627,694.05
690.7386,687.4942,694.0
690.6258,687.47577,693.5
690.0497,687.1174,692.15
688.95386,686.1333,691.8
687.98956,685.7234,690.75
687.1468,684.9646,690.75
686.71204,684.84766,692.25
687.68115,685.8849,692.5
688.8136,686.2174,692.35
688.95483,686.1633,691.25
688.1924,685.3987,692.5
688.3807,686.06537,693.25
689.34656,686.73865,692.9
689.4022,686.6294,692.7
688.93024,686.4285,692.75
688.9109,686.4213,692.85
689.0628,686.504,691.4
688.1735,685.5795,695.75
689.8715,688.29694,695.3
691.8912,688.5582,695.05
691.63,688.36707,694.75
690.98706,688.054,698.2
692.96576,690.31213,698.1
694.49603,690.70074,697.45
693.7786,690.2826,698.05
693.6031,690.52997,697.1
693.60974,690.0088,697.35
693.163,690.07513,696.75
692.6888,689.72797,696.95
692.70245,689.7807,697.1
692.97894,689.9122,697.75
693.472,690.3459,697.95
693.95776,690.5575,696.85
693.51575,689.8765,697.85
693.5046,690.3503,696.8
693.3761,689.8056,698.0
693.528,690.46124,696.85
693.327,689.8702,697.5
693.24084,690.1428,697.0
693.2303,689.906,702.65
696.15295,693.78674,705.4
700.23126,697.1177,703.9
700.7664,696.4774,702.65
699.1538,695.0338,702.8
698.7003,694.8313,701.95
698.1572,694.1501,701.7
697.0854,693.8664,703.0
697.54114,694.9307,703.45
698.7461,695.5714,703.7
699.24854,695.9044,703.5
699.30096,695.76605,703.85
699.6008,696.01605,703.2
699.4127,695.53864,702.15
698.3816,694.5055,703.55
698.53845,695.4723,704.35
699.6515,696.4145,704.45
700.07825,696.7077,704.55
700.117,696.7938,706.7
